time_ms csd_trace16
1.302132132132132085e+02 3.012158935546874972e+01
1.307137137137137302e+02 2.990015380859374972e+01
1.312142142142142234e+02 3.086817138671874972e+01
1.317147147147147166e+02 3.089527099609374972e+01
1.322152152152152098e+02 2.986572998046874972e+01
1.327157157157157030e+02 2.965747802734374972e+01
1.332162162162162247e+02 2.987940185546874972e+01
1.337167167167167179e+02 3.014405029296874972e+01
1.342172172172172111e+02 2.955078857421874972e+01
1.347177177177177327e+02 2.960010498046874972e+01
1.352182182182182260e+02 2.831714599609374972e+01
1.357187187187187192e+02 2.741724365234374972e+01
1.362192192192192124e+02 2.684375732421874972e+01
1.367197197197197056e+02 2.676197021484374972e+01
1.372202202202202272e+02 2.699097412109374972e+01
1.377207207207207205e+02 2.690113037109374972e+01
1.382212212212212421e+02 2.663574951171874972e+01
1.387217217217217069e+02 2.630884521484374972e+01
1.392222222222222001e+02 2.673926513671874972e+01
1.397227227227227218e+02 2.634107177734374972e+01
1.402232232232232150e+02 2.618286865234374972e+01
1.407237237237237366e+02 2.644239013671874972e+01
1.412242242242242298e+02 2.706421630859374972e+01
1.417247247247247230e+02 2.691455810546874972e+01
1.422252252252252163e+02 2.643140380859374972e+01
1.427257257257257095e+02 2.537476318359374972e+01
1.432262262262262311e+02 2.533960693359374972e+01
1.437267267267267243e+02 2.611572998046874972e+01
1.442272272272272460e+02 2.594190185546874972e+01
1.447277277277277392e+02 2.560742919921874972e+01
1.452282282282282324e+02 2.520606201171874972e+01
1.457287287287287256e+02 2.524927490234374972e+01
1.462292292292292188e+02 2.498560302734374972e+01
1.467297297297297405e+02 2.400415771484374972e+01
1.472302302302302337e+02 2.386255615234374972e+01
1.477307307307307269e+02 2.379273193359374972e+01
1.482312312312312486e+02 2.434839599609374972e+01
1.487317317317317134e+02 2.456153076171874972e+01
1.492322322322322350e+02 2.404053466796874972e+01
1.497327327327327282e+02 2.352246826171874972e+01
1.502332332332332214e+02 2.285645263671874972e+01
1.507337337337337431e+02 2.240186279296874972e+01
1.512342342342342363e+02 2.267554443359374972e+01
1.517347347347347579e+02 2.217700927734374972e+01
1.522352352352352227e+02 2.191040771484374972e+01
1.527357357357357159e+02 2.125196044921874972e+01
1.532362362362362376e+02 2.105030029296874972e+01
1.537367367367367308e+02 2.111548583984374972e+01
1.542372372372372524e+02 2.121778076171874972e+01
1.547377377377377456e+02 2.127466552734374972e+01
1.552382382382382389e+02 2.080127685546874972e+01
1.557387387387387321e+02 2.102124755859374972e+01
1.562392392392392253e+02 2.042798583984374972e+01
1.567397397397397469e+02 1.903101318359374972e+01
1.572402402402402402e+02 1.869776123046874972e+01
1.577407407407407334e+02 1.849585693359374972e+01
1.582412412412412550e+02 1.810083740234374972e+01
1.587417417417417198e+02 1.829883544921874972e+01
1.592422422422422414e+02 1.901172607421874972e+01
1.597427427427427347e+02 1.931763427734374972e+01
1.602432432432432563e+02 1.921314208984374972e+01
1.607437437437437495e+02 1.811621826171874972e+01
1.612442442442442427e+02 1.684497802734374972e+01
1.617447447447447644e+02 1.758545654296874972e+01
1.622452452452452292e+02 1.798340576171874972e+01
1.627457457457457508e+02 1.754956787109374972e+01
1.632462462462462440e+02 1.682373779296874972e+01
1.637467467467467372e+02 1.579370849609374972e+01
1.642472472472472589e+02 1.578906982421874972e+01
1.647477477477477521e+02 1.651587646484374972e+01
1.652482482482482737e+02 1.633594482421874972e+01
1.657487487487487385e+02 1.631421630859374972e+01
1.662492492492492318e+02 1.652637451171874972e+01
1.667497497497497534e+02 1.617798583984374972e+01
1.672502502502502750e+02 1.664917724609374972e+01
1.677507507507507682e+02 1.626074951171874972e+01
1.682512512512512615e+02 1.509571044921874972e+01
